Date,Nifty Pharma,Return
28-May-21,13934.1,0.011769462
27-May-21,14100.05,0.001925357
26-May-21,14127.25,-0.002636603
25-May-21,14090.1,-0.003950936
24-May-21,14034.65,-0.002926317
21-May-21,13993.7,-0.001682152
20-May-21,13970.2,0.002224785
19-May-21,14001.35,-0.012214077
18-May-21,13832.4,0.001897725
17-May-21,13858.7,0.001930071
14-May-21,13885.5,0.012765685
12-May-21,14065.05,0.000113744
11-May-21,14066.65,0.004613692
10-May-21,14131.85,-0.027987721
07-May-21,13747.1,4.72805E-05
06-May-21,13747.75,0.002318628
05-May-21,13779.7,-0.041175693
04-May-21,13234.75,0.020188859
03-May-21,13507.45,-0.00283609
30-Apr-21,13469.25,-0.01282837
29-Apr-21,13298.65,-0.003448289
28-Apr-21,13252.95,0.003294038
27-Apr-21,13296.75,-0.007035827
26-Apr-21,13203.85,0.008701365
23-Apr-21,13319.75,0.004424861
22-Apr-21,13378.95,0.003571189
20-Apr-21,13426.9,-0.012873173
19-Apr-21,13256.25,-0.001662353
16-Apr-21,13234.25,-0.019034346
15-Apr-21,12987.05,-0.014019129
13-Apr-21,12807.5,0.011908022
12-Apr-21,12961.85,0.002577845
09-Apr-21,12995.35,-0.030420165
08-Apr-21,12611.7,0.000368569
07-Apr-21,12616.35,-0.005399009
06-Apr-21,12548.6,-0.01760532
05-Apr-21,12331.5,0.003684223
01-Apr-21,12377.1,-0.008514903
31-Mar-21,12272.6,-0.005406911
30-Mar-21,12206.6,-0.027214892
26-Mar-21,11883.2,-0.005619119
25-Mar-21,11816.8,0.008349907
24-Mar-21,11916.3,-0.000764243
23-Mar-21,11907.2,-0.004763412
22-Mar-21,11850.75,-0.015740844
19-Mar-21,11667.1,-0.013257255
18-Mar-21,11514.45,0.023164369
17-Mar-21,11787.5,0.018771331
16-Mar-21,12013,0.000956381
15-Mar-21,12024.5,0.013111189
12-Mar-21,12184.25,0.010476519
10-Mar-21,12313.25,-0.014785085
09-Mar-21,12133.85,0.008660237
08-Mar-21,12239.85,-0.003862951
05-Mar-21,12192.75,0.01287267
04-Mar-21,12351.75,0.002249669
03-Mar-21,12379.6,-0.009977728
02-Mar-21,12257.3,-0.013611518
01-Mar-21,12092.7,-0.013816347
26-Feb-21,11927.9,0.017608737
25-Feb-21,12141.7,-0.00879456
24-Feb-21,12035.85,-0.000527869
23-Feb-21,12029.5,0.000232707
22-Feb-21,12032.3,0.025519543
19-Feb-21,12347.4,0.013588975
18-Feb-21,12517.5,0.005312154
17-Feb-21,12584.35,0.017166309
16-Feb-21,12804.15,-0.004633153
15-Feb-21,12745.1,0.003179321
12-Feb-21,12785.75,0.01114093
11-Feb-21,12929.8,-0.001879037
10-Feb-21,12905.55,-0.007238855
09-Feb-21,12812.8,0.012196438
08-Feb-21,12971,-0.00157135
05-Feb-21,12950.65,-0.016610344
04-Feb-21,12739.05,-0.002549846
03-Feb-21,12706.65,-0.027917211
02-Feb-21,12361.55,-0.02131606
01-Feb-21,12103.55,0.005480578
29-Jan-21,12170.25,0.01820756
28-Jan-21,12395.95,0.007998624
27-Jan-21,12495.9,0.020447998
25-Jan-21,12756.75,-0.017114359
22-Jan-21,12542.1,0.012211402
21-Jan-21,12697.15,0.014288265
20-Jan-21,12881.2,-0.001177518
19-Jan-21,12866.05,-0.016797724
18-Jan-21,12653.5,0.027719615
15-Jan-21,13014.25,0.016497198
14-Jan-21,13232.55,-0.008382517
13-Jan-21,13122.55,0.009222557
12-Jan-21,13244.7,0.012499674
11-Jan-21,13412.35,-0.01060916
08-Jan-21,13271.55,-0.016139961
07-Jan-21,13060.75,0.004371822
06-Jan-21,13118.1,0.003664645
05-Jan-21,13166.35,-0.001258574
04-Jan-21,13149.8,-0.011371371
01-Jan-21,13001.95,-0.006662331
31-Dec-20,12915.9,-0.007174105
30-Dec-20,12823.9,0.001557159
29-Dec-20,12843.9,0.002365168
28-Dec-20,12874.35,0.002680311
24-Dec-20,12908.95,-0.012208653
23-Dec-20,12753.25,-0.016118302
22-Dec-20,12550.95,-0.022218331
21-Dec-20,12278.15,0.037939721
18-Dec-20,12762.35,-0.012692027
17-Dec-20,12602.4,-0.004375374
16-Dec-20,12547.5,-0.009241832
15-Dec-20,12432.6,0.002191029
14-Dec-20,12459.9,-0.007593401
11-Dec-20,12366,0.005996495
10-Dec-20,12440.6,0.00026519
09-Dec-20,12443.9,-0.002949876
08-Dec-20,12407.3,0.011839009
07-Dec-20,12555.95,-0.016379841
04-Dec-20,12353.6,-0.012013648
03-Dec-20,12206.95,-0.009790216
02-Dec-20,12088.6,-0.003607261
01-Dec-20,12045.15,-0.017399898
27-Nov-20,11839.15,-0.003211524
26-Nov-20,11801.25,-0.014271349
25-Nov-20,11635.2,0.020672009
24-Nov-20,11880.8,-0.012234605
23-Nov-20,11737.2,-0.018257531
20-Nov-20,11526.75,0.003445265
19-Nov-20,11566.6,0.003991234
18-Nov-20,11612.95,0.006659082
17-Nov-20,11690.8,0.006935685
14-Nov-20,11772.45,-0.003922756
13-Nov-20,11726.45,-0.01083115
12-Nov-20,11600.8,-0.002631727
11-Nov-20,11570.35,-0.035943558
10-Nov-20,11168.9,0.043295772
09-Nov-20,11674.35,-0.00438772
06-Nov-20,11623.35,0.00697141
05-Nov-20,11704.95,-0.008295538
04-Nov-20,11608.65,-0.021798257
03-Nov-20,11361,-0.016617004
02-Nov-20,11175.3,0.006087827
30-Oct-20,11243.75,-0.001581151
29-Oct-20,11226,0.008750475
28-Oct-20,11325.1,0.016192503
27-Oct-20,11511.5,-0.015642921
26-Oct-20,11334.2,0.014678716
23-Oct-20,11503.05,0.003659498
22-Oct-20,11545.3,0.008621208
21-Oct-20,11645.7,-0.000111642
20-Oct-20,11644.4,-0.002388813
19-Oct-20,11616.65,0.01671308
16-Oct-20,11814.1,-0.015140189
15-Oct-20,11637.9,0.01849923
14-Oct-20,11857.25,0.006689229
13-Oct-20,11937.1,0.01789042
12-Oct-20,12154.55,-0.009183034
09-Oct-20,12043.95,0.013534875
08-Oct-20,12209.2,-0.024691565
07-Oct-20,11915,0.00786464
06-Oct-20,12009.45,0.00121008
05-Oct-20,12024,-0.017009363
01-Oct-20,11822.9,-0.004251307
30-Sep-20,11772.85,-0.005410137
29-Sep-20,11709.5,0.007383483
28-Sep-20,11796.6,-0.017307842
25-Sep-20,11595.9,-0.023053306
24-Sep-20,11334.6,0.030061869
23-Sep-20,11685.9,0.016077495
22-Sep-20,11876.85,-0.006551097
21-Sep-20,11799.55,0.042314279
18-Sep-20,12320.9,-0.049842578
17-Sep-20,11735.95,-0.004055251
16-Sep-20,11688.55,-0.020789485
15-Sep-20,11450.5,-0.019335369
14-Sep-20,11233.3,0.007071323
11-Sep-20,11313.3,-0.000875843
10-Sep-20,11303.4,6.19244E-05
09-Sep-20,11304.1,-0.019011647
08-Sep-20,11093.2,0.015674565
07-Sep-20,11269.85,0.001028237
04-Sep-20,11281.45,0.020014159
03-Sep-20,11511.85,-0.009435079
02-Sep-20,11404.25,-0.005710128
01-Sep-20,11339.5,-0.023439051
31-Aug-20,11079.8,0.046726721
28-Aug-20,11622.9,-0.003007408
27-Aug-20,11588.05,-0.009012108
26-Aug-20,11484.55,0.001343478
25-Aug-20,11500,0.006243384
24-Aug-20,11572.25,0.003672008
21-Aug-20,11614.9,-0.006411978
20-Aug-20,11540.9,-0.000260013
19-Aug-20,11537.9,0.003781828
18-Aug-20,11581.7,0.001177196
17-Aug-20,11595.35,0.003870142
14-Aug-20,11640.4,-0.014153224
13-Aug-20,11477.95,0.009689178
12-Aug-20,11590.25,0.015460086
11-Aug-20,11772.25,0.014165006
10-Aug-20,11941.4,-0.053683932
07-Aug-20,11333,0.006195385
06-Aug-20,11403.65,-0.012420375
05-Aug-20,11263.75,0.004700913
04-Aug-20,11316.95,-0.016943136
03-Aug-20,11128.4,0.001838746
31-Jul-20,11148.9,-0.03556086
30-Jul-20,10766.05,-0.031117262
29-Jul-20,10441.15,-0.030914144
28-Jul-20,10128.05,-0.0065593
27-Jul-20,10062.05,0.017181174
24-Jul-20,10237.95,0.008157215
23-Jul-20,10322.15,-0.014441977
22-Jul-20,10175.2,-0.002107585
21-Jul-20,10153.8,0.014634241
20-Jul-20,10304.6,0.01599958
17-Jul-20,10472.15,-0.008654152
16-Jul-20,10382.3,-0.016800921
15-Jul-20,10210.75,-0.005484956
14-Jul-20,10155.05,-0.004793897
13-Jul-20,10106.6,-0.00341036
10-Jul-20,10072.25,-0.008480558
09-Jul-20,9987.55,-0.003925215
08-Jul-20,9948.5,-0.007137072
07-Jul-20,9878,0.002348188
06-Jul-20,9901.25,0.00623783
03-Jul-20,9963.4,-0.001986192
02-Jul-20,9943.65,-0.006152072
01-Jul-20,9882.85,0.010245214
30-Jun-20,9985.15,0.014872878
29-Jun-20,10135.9,0.000192348
26-Jun-20,10137.85,0.005425212
25-Jun-20,10193.15,-0.00817467
24-Jun-20,10110.5,0.024158366
23-Jun-20,10360.8,-0.013940607
22-Jun-20,10218.35,-0.021615353
19-Jun-20,10002.15,-0.002691648
18-Jun-20,9975.3,0.000190434
17-Jun-20,9977.2,-0.005117666
16-Jun-20,9926.4,0.006271868
15-Jun-20,9989.05,-0.000626077
12-Jun-20,9982.8,-0.004973121
11-Jun-20,9933.4,0.021267581
10-Jun-20,10149.25,-0.002687203
09-Jun-20,10122.05,-0.018407099
08-Jun-20,9939.1,0.014105324
05-Jun-20,10081.3,-0.000342335
04-Jun-20,10077.85,-0.021674667
03-Jun-20,9864.05,-0.003096526
02-Jun-20,9833.6,-0.003213597
01-Jun-20,9802.1,-0.003429355
29-May-20,9768.6,
